L0: Conta: 103022973
L1: Titular: CANARIO MESA PROPRIETARIA LTDA
L2: Data Inicial: 01/12/2025
L3: Data Final: 31/12/2025
L4: 
L5: Subconta;Ativo;Abertura;Fechamento;Tempo Operação;Qtd Compra;Qtd Venda;Lado;Preço Compra;Preço Venda;Preço de Mercado;Res. Intervalo Bruto;Res. Intervalo (%);Res. Operação;Res. Operação (%);TET;Total
L6:  - ;WINZ25;01/12/2025 10:26:10;01/12/2025 10:28:49;2min38s;5;5;V;159.200,00;159.235,00;157.150,00;35,00;35,00;35,00;35,00; - ;35,00
L7:  - ;WINZ25;01/12/2025 10:30:45;01/12/2025 10:32:47;2min1s;5;5;V;159.320,00;159.160,00;162.270,00;-160,00;-160,00;-160,00;-160,00;4min34s;-125,00
L8:  - ;WINZ25;02/12/2025 09:05:17;02/12/2025 09:12:10;6min52s;4;4;C;160.270,00;160.227,50;162.270,00;-34,00;-42,50;-34,00;-42,50;22h34min32s;-159,00
L9:  - ;WINZ25;02/12/2025 09:25:51;02/12/2025 09:26:39;48s;4;4;C;160.310,00;160.315,00;162.650,00;4,00;5,00;4,00;5,00;20min33s;-155,00
L10:  - ;WINZ25;02/12/2025 09:44:14;02/12/2025 09:57:12;12min57s;5;5;V;160.105,00;160.105,00;162.650,00;0;0;0;0;18min23s;-155,00
L11:  - ;WINZ25;02/12/2025 10:05:58;02/12/2025 10:08:44;2min45s;5;5;V;160.035,00;159.900,00;162.650,00;-135,00;-135,00;-135,00;-135,00;21min44s;-290,00
L12:  - ;WINZ25;02/12/2025 10:09:34;02/12/2025 10:10:26;51s;5;5;V;160.110,00;160.035,00;162.650,00;-75,00;-75,00;-75,00;-75,00;3min35s;-365,00
L13:  - ;WINZ25;02/12/2025 10:30:52;02/12/2025 10:32:22;1min30s;5;5;C;160.535,00;160.759,00;162.650,00;224,00;224,00;224,00;224,00;21min18s;-141,00
L14:  - ;WINZ25;02/12/2025 10:32:40;02/12/2025 10:32:47;6s;5;5;C;160.690,00;160.580,00;162.650,00;-110,00;-110,00;-110,00;-110,00;1min47s;-251,00
L15:  - ;WINZ25;02/12/2025 10:56:37;02/12/2025 10:58:09;1min32s;5;5;C;160.895,00;160.940,00;162.650,00;45,00;45,00;45,00;45,00;23min56s;-206,00
L16:  - ;WINZ25;02/12/2025 10:58:47;02/12/2025 11:01:06;2min19s;5;5;C;160.955,00;160.890,00;162.650,00;-65,00;-65,00;-65,00;-65,00;2min10s;-271,00
L17:  - ;WINZ25;02/12/2025 11:01:43;02/12/2025 11:02:29;45s;5;5;C;161.060,00;161.090,00;162.650,00;30,00;30,00;30,00;30,00;2min56s;-241,00
L18:  - ;WINZ25;02/12/2025 11:03:28;02/12/2025 11:04:41;1min12s;5;5;C;161.100,00;161.206,00;162.650,00;106,00;106,00;106,00;106,00;1min44s;-135,00
L19:  - ;WINZ25;02/12/2025 11:06:39;02/12/2025 11:07:40;1min1s;5;5;C;161.285,00;161.225,00;162.650,00;-60,00;-60,00;-60,00;-60,00;3min10s;-195,00
L20:  - ;WINZ25;02/12/2025 11:08:26;02/12/2025 11:10:45;2min18s;5;5;C;161.305,00;161.315,00;162.650,00;10,00;10,00;10,00;10,00;1min47s;-185,00
L21:  - ;WINZ25;02/12/2025 11:13:00;02/12/2025 11:14:17;1min17s;5;5;C;161.395,00;161.415,00;162.650,00;20,00;20,00;20,00;20,00;4min33s;-165,00
L22:  - ;WINZ25;02/12/2025 11:14:50;02/12/2025 11:15:13;23s;5;5;C;161.435,00;161.415,00;162.650,00;-20,00;-20,00;-20,00;-20,00;1min49s;-185,00
L23:  - ;WINZ25;02/12/2025 11:15:26;02/12/2025 11:16:37;1min11s;5;5;C;161.435,00;161.375,00;162.650,00;-60,00;-60,00;-60,00;-60,00;35s;-245,00
L24:  - ;WINZ25;03/12/2025 09:12:40;03/12/2025 09:14:34;1min54s;5;5;C;162.460,00;162.340,00;162.650,00;-120,00;-120,00;-120,00;-120,00;21h57min14s;-365,00
